article_id,section,date,origin,title,topic,potential_merge,actor,actor_party_bucket,sentiment_score,ascribing,public_reaction,other_actors,other_observations,example_quote,quote_is_direct,topic_certainty,actor_certainty,sentiment_certainty,ascribing_certainty,public_certainty,row_id
3064715152,politics/provincial,2024-06-04,Toronto Star,Opposition parties say they're ready if Doug Ford calls a snap election,election_timing,,Mike Schreiner / Green,Green,0.4,self (Schreiner),,,Schreiner says the Greens are recruiting candidates and assembling an election team.,We'll be ready. We're already starting to work on recruiting candidates and ... we're putting our election team together,TRUE,75,95,75,95,,r010
3047409433,Letters,2024-04-27,National Post,Uphold ban on keffiyeh,legislature_conduct,,Marit Stiles / NDP,NDP,-0.5,author (letter writer),,Speaker Ted Arnott; Doug Ford,"Letter writer accuses Stiles of inconsistency, arguing her cultural-significance objection implies non-Arab keffiyeh wearers are guilty of cultural appropriation.","Marit Stiles, the leader of the Ontario NDP, objects on the grounds that the keffiyeh is a culturally significant clothing item for Arabs and Muslims.",FALSE,70,90,75,90,,r011
3047409433,Letters,2024-04-27,National Post,Uphold ban on keffiyeh,legislature_conduct,,Doug Ford / PC,PC,-0.4,author (letter writer),,Speaker Ted Arnott; Marit Stiles,"Letter writer accuses Ford, along with Stiles, of 'playing their own political games' by objecting to the keffiyeh ban.","There is little doubt that those who object to Arnott's decision, including Premier Doug Ford, are playing their own political games.",FALSE,70,90,75,90,,r012
3047409433,Letters,2024-04-27,National Post,Uphold ban on keffiyeh,legislature_conduct,,Speaker Ted Arnott,other,0.6,author (letter writer),,Marit Stiles; Doug Ford,Letter writer supports the Speaker's decision to ban the keffiyeh from the Legislature as consistent with existing rules.,Speaker Ted Arnott is right to have banned the keffiyeh from the Ontario Legislature in keeping with its already existing rules.,FALSE,70,90,80,90,,r013
3039702807,News,2024-04-17,Toronto Star,Chow disappointed by lack of funds for subway cars,public_transit,,Doug Ford / PC government,PC,-0.2,author,,Olivia Chow; TTC CEO Rick Leary,"Ford's province committed $750 million toward new subway cars, but only if the federal government matches it; Chow said she failed to talk the province out of that condition.",Chow said she failed to talk the province out of that condition.,FALSE,85,90,60,80,,r014
3039702807,News,2024-04-17,Toronto Star,Chow disappointed by lack of funds for subway cars,public_transit,,Justin Trudeau / federal government,federal,-0.3,Olivia Chow / author,,TTC CEO Rick Leary,Chow was disappointed the federal budget left out her top request of $750 million for subway car replacement funding.,was clearly disappointed that Prime Minister Justin Trudeau's government left out her top request - the subway car money,FALSE,85,90,75,80,,r015
3039702807,News,2024-04-17,Toronto Star,Chow disappointed by lack of funds for subway cars,housing,,Justin Trudeau / federal government,federal,0.4,Olivia Chow / author,,,Chow praised federal budget housing initiatives aimed at spurring new construction and addressing homelessness.,Chow also praised several housing initiatives in the federal budget she said will help Toronto spur new housing construction while helping alleviate the homelessness crisis,FALSE,80,85,75,75,,r016
3043320607,National,2024-04-22,Globe and Mail,Evening Update: Ottawa and Ontario set to announce multibillion-dollar Honda EV deal:   Premier Doug Ford said the investment will surpass other electric-vehicle deals such as with Volkswagen and Stellantis,economic_development,tariffs_trade,Doug Ford / PC government,PC,0.6,self (Ford),,Honda Motor Co.,Ford touts the Honda EV investment as exceeding prior deals with Volkswagen and Stellantis; deal to be jointly announced with the federal government.,Ontario Premier Doug Ford said the size of the investment will surpass other electric-vehicle deals in the province.,FALSE,70,95,80,85,,r017
2973827218,News,2024-03-25,Globe and Mail,"Ontario budget to target municipalities: Ford:   Premier says province's fiscal blueprint will take balanced approach, but it's not expected to eliminate the deficit",municipal_powers;housing;taxes,,Doug Ford / PC government,PC,0.3,self (Ford),,,"Ford frames the upcoming budget as balanced, including new spending and support for Ontario's 444 municipalities to meet housing targets.","It's going to be a very balanced budget, per se",TRUE,75,95,70,90,,r018
2973827218,News,2024-03-25,Globe and Mail,"Ontario budget to target municipalities: Ford:   Premier says province's fiscal blueprint will take balanced approach, but it's not expected to eliminate the deficit",taxes,,Doug Ford / PC government,PC,-0.2,author,,,"Article notes the budget is not expected to eliminate the deficit despite the government's balanced-approach framing, amid growing economic uncertainty.","the document is not actually expected to eliminate deficit spending in the coming fiscal year, as the province faces growing economic uncertainty",FALSE,70,90,65,85,,r019
3034973388,News,2024-04-10,Toronto Star,"Key figures yet to be questioned:   Six months into probe, RCMP has yet to contact former housing minister",corruption_scandal,housing,Doug Ford / PC government,PC,-0.4,author,,Steve Clark; Kaleed Rasheed; Ryan Amato; Jae Truesdell,RCMP investigating Greenbelt land swap scandal; two cabinet ministers and two aides resigned,the cloud of a criminal investigation has loomed over Premier Doug Ford's government since Oct. 10,FALSE,80,90,75,80,,r020
3034973388,News,2024-04-10,Toronto Star,"Key figures yet to be questioned:   Six months into probe, RCMP has yet to contact former housing minister",corruption_scandal,housing,Doug Ford,PC,0.3,self (Ford),,,Ford's Sept 21 apology and reversal of Greenbelt swap,"I'm very, very sorry. I made a promise to you that I wouldn't touch the Greenbelt. I broke that promise",TRUE,75,90,65,85,,r021
3034973388,News,2024-04-10,Toronto Star,"Key figures yet to be questioned:   Six months into probe, RCMP has yet to contact former housing minister",public_opinion_polling,,PC Party / Ford government,PC,0.5,"pollster (David Coletto, Abacus Data)","Abacus Data tracking poll: PC 41%, Liberal 27%, NDP 21%, Green 7%, following Ford's apology and Greenbelt reversal",Bonnie Crombie; Marit Stiles; Mike Schreiner,"Poll shows Tories recovered from summer tailspin (41% July to 34% Sept, back to 41%)",the premier's Sept. 21 cancellation of the Greenbelt land swap and his public apology for the fiasco boosted the party's standing,FALSE,70,85,70,80,85,r022
3059825139,Opinion,2024-05-24,Ottawa Citizen,"Today's letters: Yes, Ontario Health Minister Sylvia Jones should resign",health_care,,Sylvia Jones (Health Minister),PC,-0.7,public (letter writer),Published citizen letter to editor calling for the health minister's resignation,,Letter to editor headline calls for Jones's resignation; body text very brief/truncated,The health minister just doesn't get it,TRUE,85,90,80,85,80,r023
3129922446,politics/provincial,2024-11-18,Hamilton Spectator,Ford government moves to shut 'loophole' for supervised drug consumption sites,harm_reduction_drug_policy;crime,health_care,Sylvia Jones / Ford government,PC,0.3,self (Jones),,Michael Kerzner (Solicitor General),"New legislation (Safer Streets, Stronger Communities Act) closes loophole for safe consumption sites, adds auto theft and sex offender registry penalties",We are shutting down that loophole. We don't want them bypassing and getting federal approval for something that we vehemently disagree with.,TRUE,80,90,65,85,,r024
3129922446,politics/provincial,2024-11-18,Hamilton Spectator,Ford government moves to shut 'loophole' for supervised drug consumption sites,harm_reduction_drug_policy,health_care,Ford government / Sylvia Jones policy,PC,-0.75,"harm reduction advocates (Zoe Dodd, Toronto Overdose Prevention Society)",Activists held a news conference at Queen's Park opposing the closure of safe consumption sites,,Dodd predicts closures will overwhelm ambulance services and lead to deaths; waiting lists for addiction treatment are months long,That is an overreach of power,TRUE,85,85,80,85,75,r025
3102454046,politics/political-opinion,2024-09-10,Toronto Star,Doug Ford's beer boondoggle is nothing to brag about,alcohol_retail;housing;public_transit,taxes,Doug Ford / PC government,PC,-0.6,author (columnist),,"The Beer Store; Kathleen Wynne (former Liberal premier, historical comparison)",Author frames beer-in-corner-stores deal as costly and overhyped; compares to Greenbelt reversal and stalled highway/Metrolinx projects as evidence Ford hasn't 'gotten much else done',"Get it done? The Greenbelt has come undone, highway construction is off track, and Metrolinx mass transit is derailed or delayed.",FALSE,75,90,85,90,,r026
3109935396,opinion/contributors,2024-09-26,Toronto Star,"When Doug Ford gets a big idea in his head, the only thing that can stop him is pretty much anything at all",roads_highways (Hwy 401 tunnel/congestion),,Doug Ford,PC,-0.2,author,,,"Article (per headline) frames Ford's 55km Hwy 401 tunnel announcement (Mississauga to Scarborough, including transit) with mild sarcasm about follow-through; available text is largely descriptive/truncated [crosscheck: revised per Opus review]","It is, in a word, ambitious.",FALSE,65,85,58,60,,r027
2968932423,opinion/letters-to-the-editor,2024-03-20,Hamilton Spectator,"March 20: Ford putting environment at risk, street changes will bring more collisions and other letters",environment,,Doug Ford / government,PC,-0.7,public (letter writer),Published citizen letter to editor stating the province is putting the environment/future at risk,,Headline references a second letter on street changes/collisions (likely bike-lane related) not included in available text,Our future is being put at risk,TRUE,55,60,70,80,80,r028
3134182555,Canada,2024-11-29,National Post,Ford shows leadership on tariff fight,tariffs_trade,,Doug Ford,PC,0.8,author (editorial),,Donald Trump; Justin Trudeau,"Editorial praises Ford's quick, forceful response to Trump's 25% tariff threat; contrasts favourably with Trudeau",Ford's quick response to the tariff threat struck the right balance between emotion and action.,FALSE,90,90,85,85,,r029
3134182555,Canada,2024-11-29,National Post,Ford shows leadership on tariff fight,tariffs_trade,,Justin Trudeau,Other,-0.6,author (editorial),,Donald Trump; Doug Ford,"Trudeau's response contrasted unfavourably with Ford's, described as lacking emotion or action",Trudeau's response was lacking either emotion or action.,FALSE,90,90,80,85,,r030
3168996870,Local / News,2025-02-21,Hamilton Spectator,"Hamilton Mountain race heating up:   Candidates trade 'personal' jabs, bring in well-known faces to campaign",crime,,Kojo Damptey (NDP candidate),NDP,-0.6,Dawn Danko (Liberal candidate),,,"Danko labelled Damptey the 'defund the police' candidate and criticized his encampment activism, part of a personal social-media exchange",defund the police,TRUE,80,90,75,85,,r031
3168996870,Local / News,2025-02-21,Hamilton Spectator,"Hamilton Mountain race heating up:   Candidates trade 'personal' jabs, bring in well-known faces to campaign",housing,,Dawn Danko (Liberal candidate),Liberal,-0.6,Ontario NDP (campaign media release),,Sergio Manchia; Angela Manchia,"NDP release accused Danko of being 'in the pocket' of would-be Greenbelt developers, citing $250 donations to her school-board trustee campaign",in the pocket,TRUE,80,90,75,85,,r032
3168996870,Local / News,2025-02-21,Hamilton Spectator,"Hamilton Mountain race heating up:   Candidates trade 'personal' jabs, bring in well-known faces to campaign",education,,Dawn Danko (Liberal candidate),Liberal,-0.4,author (via political scientist Chris Erl's analysis),,,"Erl suggests Liberals may be trying to shy away from Danko's record on the Hamilton public school board, mired in code-of-conduct probes",which has been mired in code of conduct probes in recent years,FALSE,70,80,60,65,,r033
3168996870,Local / News,2025-02-21,Hamilton Spectator,"Hamilton Mountain race heating up:   Candidates trade 'personal' jabs, bring in well-known faces to campaign",housing,,Sergio Manchia (developer),Other,-0.3,author,,,Manchia named in a provincial watchdog report as a developer who stood to benefit from the Ford government's cancelled Greenbelt plan; he says his lobbying followed the rules and 'was no secret',no secret,TRUE,75,80,55,60,,r034
3076428079,Columnists,2024-07-06,Toronto Sun,LILLEY: LCBO strike all about political ambitions of union leaders,alcohol_retail,,OPSEU / union leaders (JP Hornick),Other,-0.6,author (columnist),,,Column frames the LCBO strike as driven by union leaders' political ambitions rather than genuine job-loss concerns over ready-to-drink products,convinced by their union bosses that allowing the spirit-based versions of these drinks to be sold anywhere but the LCBO will result in thousands of jobs being lost,FALSE,80,85,75,85,,r035
3076428079,Columnists,2024-07-06,Toronto Sun,LILLEY: LCBO strike all about political ambitions of union leaders,alcohol_retail,,Doug Ford / government,PC,0.3,author (columnist),,,Author credits Ford's alcohol-liberalization policy with steadily rising LCBO dividend revenue to the province,the LCBO and the revenue it provides to the government has only increased,FALSE,80,85,65,80,,r036
2927876471,politics/provincial,2024-02-16,Toronto Star,Ford government wants to fast-track construction projects but critics warn Greenbelt shows it can't be trusted,housing;environment,,Andrea Khanjin / Ford government,PC,0.4,self (Khanjin),,,"New omnibus legislation streamlines environmental assessments for highways, railways and transmission lines (e.g. Hwy 413, Bradford Bypass), cutting up to 4 years off timelines","We've consulted extensively with municipalities, Indigenous communities and key stakeholders on proposals to move more projects to a streamlined environmental process",TRUE,80,90,70,85,,r037
2927876471,politics/provincial,2024-02-16,Toronto Star,Ford government wants to fast-track construction projects but critics warn Greenbelt shows it can't be trusted,environment;housing,,Ford government,PC,-0.75,NDP MPP Sandy Shaw; Environmental Defence (Phil Pothen),,,Both critics invoke the Greenbelt scandal as evidence the government cannot be trusted to streamline environmental review without harming the environment,The premier and his government have learned nothing from their Greenbelt scheme and keep pushing ahead with policies that they know are harmful,TRUE,80,85,80,75,,r038
2927876471,politics/provincial,2024-02-16,Toronto Star,Ford government wants to fast-track construction projects but critics warn Greenbelt shows it can't be trusted,housing;municipal_powers,,Ford government policy,PC,0.5,"Colin Best (AMO president, Halton regional councillor)",,,"Best, representing municipalities, calls the streamlined process a 'critical enabler' for building housing-related infrastructure","modernized environmental assessment processes are a critical enabler for housing, streamlining processes for municipalities to help them build infrastructure like roads, sewers, and water systems more quickly",TRUE,75,85,75,85,,r039
2972743194,opinion/contributors,2024-03-21,Hamilton Spectator,Ford government continues 'party' with taxpayer money,taxes;post_secondary,,Doug Ford / Ford government,PC,-0.7,author,,"Dalton McGuinty; Kathleen Wynne (former Liberal premiers, historical comparison)",Author argues Ford government spending (% of GDP) exceeds that of prior Liberal governments despite 2018 'party is over' promise; cites post-secondary funding and corporate welfare grants as areas for cuts,"if the Ford government spent at the same level (relative to GDP) as the former Liberal government, taxpayers would save between $6 billion and $7 billion this year alone",FALSE,80,90,85,85,,r040
3066238588,Editorial,2024-06-11,Hamilton Spectator,Premier ignores lessons of our past at our peril,health_care,,Doug Ford / Ford government,PC,-0.8,author (editorial board),,,Editorial criticizes cancellation of provincial wastewater COVID surveillance funding as repeating pre-SARS mistakes and betraying pandemic sacrifices,Cutting the Ontario wastewater surveillance network now is a betrayal of everyone who sacrificed in the fight against COVID-19.,FALSE,85,90,85,85,,r041
3123169792,Opinion,2024-11-01,Windsor Star,"Ford hopes dougi e dollars will keep taxpayers happy; Premier says inflation gave province sales-tax windfall, Brian Lilley writes",taxes,,Ford,PC,0.1,author (columnist Brian Lilley),,Stiles (NDP); Crombie (Liberal),"Author frames the rebate as savvy politics (""because he can""); notes health spending rose 34.2% under Ford, presenting the rebate as additional to social spending rather than instead of it.","You can call this crass electioneering, you can claim Ford is bribing taxpayers with their own money, but people like getting money.",TRUE,90,95,65,90,,r042
3123169792,Opinion,2024-11-01,Windsor Star,"Ford hopes dougi e dollars will keep taxpayers happy; Premier says inflation gave province sales-tax windfall, Brian Lilley writes",taxes;health_care;education,,Ford,PC,-0.5,NDP (Stiles),,Crombie (Liberal),"Stiles argues a one-time payment will not fix affordability, health care access, or housing/tent-city issues.","I think a lot of people are struggling right now, but a one-time payment right before an election isn't going to solve the affordability crisis for Ontarians.",TRUE,85,95,90,95,,r043
3123169792,Opinion,2024-11-01,Windsor Star,"Ford hopes dougi e dollars will keep taxpayers happy; Premier says inflation gave province sales-tax windfall, Brian Lilley writes",taxes,,Ford,PC,-0.6,Liberal (Crombie),,Stiles (NDP),"Crombie frames the rebate as a pre-election ""bribe"" using taxpayers' own money and contrasts it with the Liberals' proposed middle-income tax cut.",The premier is attempting to bribe Ontarians with their own money. This is taxpayers' money.,TRUE,90,95,90,95,,r044
3122610268,news/morning-digest,2024-10-31,Toronto Star,How Doug Ford is spending Ontario's tax money + hundreds of jobs cut at Manulife,taxes,,Ford,PC,-0.3,author (Star digest writer),,,"Brief digest item pairs the pre-election rebate spending with a forecast $6.6-billion deficit, implying fiscal criticism; very short text limits certainty.","The premier is spending a sizable chunk of the province's tax revenue on his $200 pre-election cheques, while still forecasting a $6.6 billion deficit.",TRUE,85,90,60,75,,r045
3087394329,Columnists,2024-08-01,Toronto Sun,GOLDBERG: Favouring unions for construction costing taxpayers dearly,municipal_powers;taxes,,Olivia Chow,Other,-0.7,author (columnist Goldberg),,Brad Bradford; Anthony Furey (mayoral by-election candidates who pledged reform),"Column blames Chow for not pursuing closed-tendering reform used elsewhere (e.g., Hamilton), linking inaction to record property-tax hikes.","There has been no indication from Chow, who won that by-election, that this common-sense reform is even on the table.",TRUE,85,95,85,90,,r046
3087394329,Columnists,2024-08-01,Toronto Sun,GOLDBERG: Favouring unions for construction costing taxpayers dearly,municipal_powers,,Ford / PC government,PC,0.6,author (columnist Goldberg),,,"Author credits 2019 Ford government legislation letting municipalities open construction tendering to competition, citing Hamilton's 21% savings as proof of success.","That all changed in 2019, when Premier Doug Ford's government passed legislation allowing municipalities to open up the construction contracting process to real competition.",TRUE,85,90,80,90,,r047
3166970371,Opinion,2025-02-15,Toronto Star,Ford shows rivals how to meet the moment:   Response to tariff threat is sloppy but reveals why Ontarians back him,tariffs_trade,,Ford,PC,0.4,author,,,"Article text is a short, apparently truncated teaser/lede comparing Ford's tariff-crisis response to Churchill; calls the response ""sloppy"" but frames it as the reason Ontarians support him.",Response to tariff threat is sloppy but reveals why Ontarians back him,TRUE,80,90,55,70,,r048
3118626167,Canada / World,2024-10-21,Hamilton Spectator,Critics say Ford keener on electioneering,electioneering;alcohol,taxes,Ford,PC,-0.5,opposition critics (unspecified/general),,,"Critics cite the Highway 401 tunnel idea and the accelerated $225-million corner-store alcohol deal as evidence Ford is focused on electioneering ahead of a possible early election, rather than governing.","Some of the premier's remarks and announcements over the past few months...are evidence that Ford is more focused on electioneering than governing, opposition critics say.",FALSE,75,90,75,60,,r049
3118626167,Canada / World,2024-10-21,Hamilton Spectator,Critics say Ford keener on electioneering,public_transit;municipal_powers,,Ford / PC government,PC,0.1,author (neutral news description),,Prabmeet Sarkaria (Transportation Minister),New bill would speed up Highway 413 construction/property acquisition and require municipalities to seek provincial permission before installing bike lanes that remove a vehicle lane -- flagged per instructions' bike-lane note.,the government is set to introduce a bill...require municipalities to ask the province for permission to install bike lanes when they would remove a lane of vehicle traffic.,TRUE,85,85,55,80,,r050
3165172368,Letters,2025-02-10,Toronto Sun,"Letters to the Editor, Feb. 10, 2025",taxes,,Federal Liberal Party,Liberal,-0.8,public (letter writer E. Simmons),"Published citizen letter expressing a longstanding negative view of Liberal governments (municipal, provincial, and federal) as tax-and-control oriented.",Justin Trudeau; Pierre Trudeau,"Letter centers on the federal Liberal leadership race but explicitly generalizes across ""municipal, provincial or federal"" Liberal governments; included for context though not specific to Ontario's provincial Liberals/Crombie.",Liberal governments only want power and control over the electorate.,TRUE,70,55,85,85,80,r051
3165172368,Letters,2025-02-10,Toronto Sun,"Letters to the Editor, Feb. 10, 2025",electioneering,,Ford,PC,-0.2,public (letter writer Ron Fawcett),"Published citizen letter arguing Ford wants to call an early Ontario election now, while the federal Conservatives are still ahead, before an opposite-federal-party voting pattern could favour Ontario's Liberals.",,Editor's bracketed reply engages directly with the letter's electoral-calculus argument (see companion author row).,"I think Doug Ford wants to win an election now because he knows that it is likely that the next federal election will be won by the Conservative Party, thus creating the possibility that...a Liberal win in Ontario might follow historic lines.",TRUE,70,90,65,85,80,r052
3165172368,Letters,2025-02-10,Toronto Sun,"Letters to the Editor, Feb. 10, 2025",electioneering,,Ford,PC,-0.2,author (editor's bracketed reply),,,"Editor calls the letter writer's electoral-timing theory ""a fair assessment,"" implicitly endorsing the skeptical read of Ford's motives, while noting federal Conservative polling is tightening.",That's a fair assessment of the political calculus which has been made.,TRUE,70,80,55,70,,r053
3092922518,politics/provincial,2024-08-13,Hamilton Spectator,"As RCMP investigates Greenbelt scandal, finance minister says Ford government is 'an open book'",housing;corruption_scandal,crime,Doug Ford,PC,-0.6,author/investigative reporting,Tories continue to lead in public opinion polls despite the ongoing scandal,Peter Bethlenfalvy (Finance Minister); Bonnie Lysyk (former Auditor General); J. David Wake (Integrity Commissioner); RCMP,Article synthesizes AG and Integrity Commissioner findings as apparent 'road maps' for the RCMP's criminal probe into the Greenbelt land swap; Ford previously apologized and reversed the land-swap decision.,"I'm very, very sorry. I made a promise to you that I wouldn't touch the Greenbelt. I broke that promise.",TRUE,85,95,80,80,65,r054
3092922518,politics/provincial,2024-08-13,Hamilton Spectator,"As RCMP investigates Greenbelt scandal, finance minister says Ford government is 'an open book'",corruption_scandal,crime,Peter Bethlenfalvy,PC,0.2,self,,Doug Ford,Bethlenfalvy defends government transparency amid RCMP interviews of current/former PC staffers as potential witnesses.,"We're an open book - as the premier said, 'Nothing to hide.' They've got to do their job.",TRUE,80,90,70,90,,r055
3109645855,politics/provincial,2024-09-25,Toronto Star,NDP hasn't ruled out bringing Sarah Jama back into the party for next election,party_politics,,Marit Stiles,NDP,0.0,author,,Sarah Jama; Peter Graefe (McMaster political scientist); Monique Taylor,Article examines the NDP's political calculus on whether to court Jama back ahead of the provincial election; Graefe notes a risk of vote-splitting if the NDP runs a candidate against her.,We'll discuss it when we get it.,TRUE,60,90,65,85,,r056
3109645855,politics/provincial,2024-09-25,Toronto Star,NDP hasn't ruled out bringing Sarah Jama back into the party for next election,party_politics,,Sarah Jama,Independent (former NDP),-0.5,Marit Stiles/NDP,,Marit Stiles,Jama was censured by the legislature over a statement on the Israel-Hamas war and has refused to apologize; sits as an Independent MPP.,"acting unilaterally too many times"" and ""undermining our work",TRUE,55,85,70,85,,r057
2955975663,News,2024-03-13,Globe and Mail,Ontario lawyers' group calls for meeting over Ford government's judicial appointments,judicial_appointments,crime,Doug Ford,PC,-0.5,legal community/advocacy group (Douglas Judson/FOLA),,Doug Downey (Attorney-General); Douglas Judson (FOLA chair); comparison to Kathleen Wynne-era Liberal government,Globe analysis found 71% of PC-appointed judges since 2018 are former prosecutors vs. 48% under the previous Liberal government; defence bar raises fairness concerns.,"it is his right to appoint ""like-minded"" judges who will be ""tough"" on crime",TRUE,70,90,75,75,,r058
2955975663,News,2024-03-13,Globe and Mail,Ontario lawyers' group calls for meeting over Ford government's judicial appointments,judicial_appointments,crime,Doug Downey,PC,-0.3,author,,Doug Ford; Douglas Judson,Downey dismisses concerns about the prevalence of prosecutor-background appointments.,I just don't think it's relevant.,TRUE,70,90,70,80,,r059
3138953955,news/canada,2024-12-03,Toronto Star,Opposition MPPs call on Ford government to launch emergency committee on problems in child welfare,child_welfare,health_care,Ford government,PC,-0.7,NDP (Monique Taylor),Families report years-long wait lists and inability to access specialized care for high-needs children; child welfare leaders report a rising volume of crisis calls from families.,"Michael Parsa (Minister of Children, Community and Social Services); Irwin Elman (former child/youth advocate)",NDP motion for an emergency committee on child welfare was defeated 6-3 by the PC majority on the standing committee on social policy.,We have seen staggering numbers of children and families who are falling through the cracks,TRUE,85,80,85,90,60,r060
3138953955,news/canada,2024-12-03,Toronto Star,Opposition MPPs call on Ford government to launch emergency committee on problems in child welfare,child_welfare,health_care,Michael Parsa,PC,0.4,self,,Monique Taylor,Parsa cites a $76.3-million funding boost to children's aid societies and $14 million more to child protection as evidence of government action.,There's nothing more important than making sure the future generation is supported so that they continue to succeed and thrive wherever they are in the province.,TRUE,85,80,75,90,,r061
3138953955,news/canada,2024-12-03,Toronto Star,Opposition MPPs call on Ford government to launch emergency committee on problems in child welfare,child_welfare,health_care,Ford government,PC,-0.6,child welfare advocate (Irwin Elman),,Monique Taylor; Michael Parsa,Elman says families remain in an 'unprecedented crisis' despite government investments and calls for provincial parties to build a new child wellbeing system.,unprecedented crisis,TRUE,80,75,70,80,,r062
2922392425,Opinion,2024-02-06,Toronto Star,I was wrong about Chow,municipal_powers;public_transit;housing,,Ford government,PC,0.5,author,,Olivia Chow; Yvan Baker (federal Liberal MP); Chrystia Freeland,"Ford government struck a 'New Deal for Toronto' taking over Gardiner/DVP funding responsibility, freeing up billions for housing/transit; Chow's only concession was dropping opposition to Ontario Place redevelopment.",Late last year she managed to strike a historic deal with the Ford government that will free up billions in capital funding for the city by having the province take over financial responsibility for the Gardiner Expressway and Don Valley Parkway.,FALSE,75,80,70,85,,r063
