article_id,section,date,origin,title,topic,potential_merge,actor,actor_party_bucket,sentiment_score,ascribing,public_reaction,other_actors,other_observations,example_quote,quote_is_direct,topic_certainty,actor_certainty,sentiment_certainty,ascribing_certainty,public_certainty,crosscheck_notes
3052716586,politics/provincial,2024-05-09,Hamilton Spectator,Newly released records reignite questions about Premier Ford's office's involvement in the Greenbelt scandal,Housing,n/a (direct match),Doug Ford / Premier's office,PC,-0.7,NDP (Marit Stiles),No mention,,Party leader (NDP) kept as its own row per the no-merge rule.,"Stiles: ""These documents tell a different story.""",True,92,93,80,95,,Not sampled this round.
3052716586,politics/provincial,2024-05-09,Hamilton Spectator,Newly released records reignite questions about Premier Ford's office's involvement in the Greenbelt scandal,Housing,n/a (direct match),Doug Ford / Premier's office,PC,-0.85,Independent oversight bodies (Auditor General + Integrity Commissioner),No mention,,Combined as 'other actors' sharing the same finding — permitted under the combine rule since neither is a provincial party leader.,"Integrity Commissioner: process was ""rushed and favoured well-connected developers.""",True,92,93,88,90,,Not sampled this round.
3052716586,politics/provincial,2024-05-09,Hamilton Spectator,Newly released records reignite questions about Premier Ford's office's involvement in the Greenbelt scandal,Housing,n/a (direct match),Doug Ford / Premier's office,PC,-0.7,Author (investigative framing/structure),No mention,,,"Headline/framing: ""reignite questions about... involvement.""",False,92,90,78,72,,Not sampled this round.
3052716586,politics/provincial,2024-05-09,Hamilton Spectator,Newly released records reignite questions about Premier Ford's office's involvement in the Greenbelt scandal,Housing,n/a (direct match),Doug Ford / Premier's office,PC,0.1,Ford's office (spokesperson Caitlin Clark) — self-ascribed defense,No mention,,Revised +0.3 -> +0.1 after cross-check: Opus argued a flat exculpatory denial with no affirmative positive claim is closer to neutral-defensive than positive.,"Clark: ""premiers' office staff were not involved in specific site selection.""",True,92,90,62,88,,"Spot-checked: SENTIMENT — DISAGREE. Opus: ~+0.1, certainty 62%. Adopted Opus's value."
3159749017,News,2025-01-25,Toronto Sun,'Pray we get elected'; Seeks new mandate from voters 'to fight Trump tariffs',Tariffs/trade,n/a (direct match),Doug Ford,PC,0.55,Ford himself (self-quotes),No mention,,Certainty raised and score nudged +0.5 -> +0.55 after cross-check (Opus read the self-framing as slightly more confidently positive).,"""I will do whatever it takes to protect the people of Ontario... We will not back down.""",True,90,95,82,90,,"Spot-checked: SENTIMENT agree, Opus suggested +0.55 (""arguably +0.6""), certainty 80%. Adopted +0.55."
3159749017,News,2025-01-25,Toronto Sun,'Pray we get elected'; Seeks new mandate from voters 'to fight Trump tariffs',Tariffs/trade,n/a (direct match),Doug Ford,PC,-0.7,NDP (Marit Stiles),No mention,,Kept separate from the Liberal row per the no-merge rule.,"Stiles: ""He thinks he can con Ontarians with an early election to escape his record.""",True,90,95,85,93,,Not sampled this round.
3159749017,News,2025-01-25,Toronto Sun,'Pray we get elected'; Seeks new mandate from voters 'to fight Trump tariffs',Tariffs/trade,n/a (direct match),Doug Ford,PC,-0.75,Liberal (Bonnie Crombie),No mention,,"SPLIT from the Greenbelt/housing row below after cross-check: Crombie's quote explicitly pivots between two topics in one breath (""isn't about Trump or tariffs — it's about... Greenbelt scandal""); blending them into one score was found to destroy topic-level resolution. Same actor+ascriber, two topic rows.","Crombie: ""This snap election isn't about Trump or tariffs.""",True,90,95,84,93,,"Spot-checked: SENTIMENT — DISAGREE on the *consolidation*, not the score. Opus: split into two topic rows, both ~-0.8, certainty 78%. Applied the split; kept each topic's own score."
3159749017,News,2025-01-25,Toronto Sun,'Pray we get elected'; Seeks new mandate from voters 'to fight Trump tariffs',Housing (Greenbelt scandal),n/a (direct match),Doug Ford,PC,-0.85,Liberal (Bonnie Crombie),No mention,,"See note on previous row — this is the second half of Crombie's single quote, now its own row.","Crombie: ""it's about Doug Ford scrambling to outrun the RCMP investigation into his Greenbelt scandal... abandoning his post.""",True,88,95,84,93,,Spot-checked (see previous row).
3159749017,News,2025-01-25,Toronto Sun,'Pray we get elected'; Seeks new mandate from voters 'to fight Trump tariffs',Tariffs/trade,n/a (direct match),Doug Ford (the election call),PC (target); ascriber = Green,-0.4,Green (Mike Schreiner),No mention,,"Softer than Stiles/Crombie — focused on election timing/stability rather than personally attacking Ford. Article also mentions two Green candidates who are a former mayor and township councillor (municipal_powers-adjacent, biographical only, no sentiment row).","Schreiner: ""In the face of looming tariff threats, Ontario needs stability, not an election.""",True,85,93,65,90,,Not sampled this round.
3059793506,Opinion,2024-05-24,Ottawa Citizen,"Yes, Sylvia Jones should resign; Letters to the editor",Health care,n/a (direct match),Sylvia Jones (Ontario Health Minister),PC,-0.9,Public (reader letter to the editor),Yes — the entire piece is a member of the public reacting; the letter directly calls for her resignation (qualifies under the new definition: a stated public reaction via a published citizen letter).,"Union of Family Physicians, CHEO",Clean example of public sentiment ascription.,"""go way beyond tone-deaf""",True,90,88,92,88,88,Not sampled this round.
3059793506,Opinion,2024-05-24,Ottawa Citizen,"Yes, Sylvia Jones should resign; Letters to the editor",Health care,n/a (direct match),Sylvia Jones (Ontario Health Minister),PC,-0.85,Union of Family Physicians (professional association),No mention,,"Kept as a distinct row from the public letter-writer since it's an organized professional body, not an individual member of the public.","""Family doctor group calls for Ontario health minister's resignation.""",False,90,88,85,88,,Not sampled this round.
3059793506,Opinion,2024-05-24,Ottawa Citizen,"Yes, Sylvia Jones should resign; Letters to the editor",,,Doug Ford,PC,-0.8,Public (same letter writer),Yes — same letter-writer also targets Ford directly.,,"No topic assigned per the updated rule: 'if it is more broadly about an actor you do not need to mention a topic' — this is a general accountability/character judgment, not tied to a specific policy.","""Doug Ford should also take some responsibility for this massive gaff and resign too.""",True,,90,80,88,88,"Spot-checked: SENTIMENT agree (Opus: -0.8, certainty 82%, endorsed the no-topic treatment as fitting)."
3163297700,Canada,2025-02-04,National Post,Ontario's election adventures through Trump's looking glass; Trade war,Tariffs/trade,n/a (direct match),Doug Ford / the trade war,PC,-0.25,Author (sardonic opinion tone),No mention,,"Score nudged -0.3 -> -0.25 after cross-check (Opus read it as mild, arguably crediting Ford as 'the realist').","""Premier Doug Ford put that dream to rest in recent days"" [that costs wouldn't rise].",False,85,88,58,70,,"Spot-checked: SENTIMENT agree (Opus: ~-0.25, certainty 58%). Adopted Opus's value."
3163297700,Canada,2025-02-04,National Post,Ontario's election adventures through Trump's looking glass; Trade war,Campaign dynamics / opposition strategy,"none — meta/strategy framing, not a policy topic",Ontario Liberals (Crombie),Liberal,-0.45,Author,No mention,,"Actor-side no-merge: treated Liberal and NDP as distinct actor rows rather than merging, consistent with the prompt's clarified rule that party leaders can't be merged as actor OR ascriber.","""the Ontario Liberals and New Democrats - a distant second and third, respectively, in the polls - are struggling to shift the discussion.""",False,68,75,60,70,,Not sampled this round.
3163297700,Canada,2025-02-04,National Post,Ontario's election adventures through Trump's looking glass; Trade war,Campaign dynamics / opposition strategy,"none — meta/strategy framing, not a policy topic",Ontario NDP (Stiles),NDP,-0.45,Author,No mention,,See previous row.,"""the Ontario Liberals and New Democrats - a distant second and third, respectively, in the polls - are struggling to shift the discussion.""",False,68,75,60,70,,Not sampled this round.
3061561933,City,2024-05-29,Ottawa Citizen,More than 700 vehicles have been reported stolen in Ottawa this year,Crime,n/a (direct match),"Ottawa city councillors (Theresa Kavanagh, David Hill)","n/a (municipal officials, not provincial party leaders — combined as 'other actors' since both express a similarly concerned-but-proactive tone)",-0.2,"Self (Kavanagh/Hill, quoted directly)",No mention (statistics and councillor quotes only; no polling data or voter quotes),,"Also touches the 'municipal powers' topic (cross-jurisdictional coordination); kept merged with crime since sentiment direction/magnitude is close, unlike the Crombie/Ontario-Works cases where per-topic sentiment diverged sharply.","Hill: ""This is a cross-jurisdictional issue, and part of the problem is that one level of government can't solve this issue alone.""",True,90,85,55,80,,Not sampled this round.
